Code Snippet,Syntax Error,Optimization Suggestion,Time Complexity,Cyclomatic Complexity
"const twoSum = (nums, target) => { const map = new Map(); for (let i = 0; i < nums.length; i++) { const complement = target - nums[i]; if (map.has(complement)) return [map.get(complement), i]; map.set(nums[i], i); } }",No,No,O(n),3
"const numberOfIslands = (grid) => { if (!grid.length) return 0; let count = 0; const dfs = (i, j) => { if (i < 0 || j < 0 || i >= grid.length || j >= grid[0].length || grid[i][j] === '0') return; grid[i][j] = '0'; dfs(i - 1, j); dfs(i + 1, j); dfs(i, j - 1); dfs(i, j + 1); }; for (let i = 0; i < grid.length; i++) { for (let j = 0; j < grid[0].length; j++) { if (grid[i][j] === '1') { count++; dfs(i, j); } } } return count; }",No,No,O(m*n),3
"const longestPalindrome = (s) => { if (s.length < 1) return ''; let start = 0, end = 0; for (let i = 0; i < s.length; i++) { const len1 = expandAroundCenter(s, i, i); const len2 = expandAroundCenter(s, i, i + 1); const len = Math.max(len1, len2); if (len > end - start) { start = i - Math.floor((len - 1) / 2); end = i + Math.floor(len / 2); } } return s.slice(start, end + 1); }; const expandAroundCenter = (s, left, right) => { while (left >= 0 && right < s.length && s[left] === s[right]) { left--; right++; } return right - left - 1; };",No,No,O(n^2),3
"const permute = (nums) => { const result = []; const backtrack = (path, remaining) => { if (!remaining.length) result.push(path); for (let i = 0; i < remaining.length; i++) { backtrack([...path, remaining[i]], remaining.slice(0, i).concat(remaining.slice(i + 1))); } }; backtrack([], nums); return result; }",No,No,O(n!),3
"const combinationSum = (candidates, target) => { const result = []; const backtrack = (start, path, remain) => { if (remain === 0) result.push(path); else if (remain < 0) return; for (let i = start; i < candidates.length; i++) { backtrack(i, [...path, candidates[i]], remain - candidates[i]); } }; backtrack(0, [], target); return result; }",No,No,O(2^n),3
"const coinChange = (coins, amount) => { const dp = Array(amount + 1).fill(Infinity); dp[0] = 0; for (let coin of coins) { for (let i = coin; i <= amount; i++) { dp[i] = Math.min(dp[i], dp[i - coin] + 1); } } return dp[amount] === Infinity ? -1 : dp[amount]; }",No,No,O(n*amount),3
"const dailyTemperatures = (T) => { const result = Array(T.length).fill(0); const stack = []; for (let i = 0; i < T.length; i++) { while (stack.length && T[i] > T[stack[stack.length - 1]]) { const j = stack.pop(); result[j] = i - j; } stack.push(i); } return result; }",No,No,O(n),3
"const productExceptSelf = (nums) => { const result = Array(nums.length).fill(1); let left = 1, right = 1; for (let i = 0; i < nums.length; i++) { result[i] *= left; left *= nums[i]; result[nums.length - 1 - i] *= right; right *= nums[nums.length - 1 - i]; } return result; }",No,No,O(n),3
"const findKthLargest = (nums, k) => { return nums.sort((a, b) => b - a)[k - 1]; }",No,No,O(n log n),3
"const binaryTreePaths = (root) => { const result = []; const constructPaths = (node, path) => { if (!node) return; path += node.val + '->'; if (!node.left && !node.right) result.push(path.slice(0, -2)); constructPaths(node.left, path); constructPaths(node.right, path); }; constructPaths(root, ''); return result; }",No,No,O(n),3
"const invertTree = (root) => { if (!root) return null; [root.left, root.right] = [invertTree(root.right), invertTree(root.left)]; return root; }",No,No,O(n),3
"const isSymmetric = (root) => { const isMirror = (t1, t2) => { if (!t1 && !t2) return true; if (!t1 || !t2) return false; return (t1.val === t2.val) && isMirror(t1.left, t2.right) && isMirror(t1.right, t2.left); }; return isMirror(root, root); }",No,No,O(n),3
"const levelOrder = (root) => { if (!root) return []; const result = []; const queue = [root]; while (queue.length) { const level = []; const size = queue.length; for (let i = 0; i < size; i++) { const node = queue.shift(); level.push(node.val); if (node.left) queue.push(node.left); if (node.right) queue.push(node.right); } result.push(level); } return result; }",No,No,O(n),3
"const mergeTwoLists = (l1, l2) => { const dummy = new ListNode(0); let tail = dummy; while (l1 && l2) { if (l1.val < l2.val) { tail.next = l1; l1 = l1.next; } else { tail.next = l2; l2 = l2.next; } tail = tail.next; } tail.next = l1 || l2; return dummy.next; }",No,No,O(n),3
"const deleteNode = (node) => { node.val = node.next.val; node.next = node.next.next; }",No,No,O(1),3
"const reverseList = (head) => { let prev = null; while (head) { const nextTemp = head.next; head.next = prev; prev = head; head = nextTemp; } return prev; }",No,No,O(n),3
"const hasCycle = (head) => { let slow = head, fast = head; while (fast && fast.next) { slow = slow.next; fast = fast.next.next; if (slow === fast) return true; } return false; }",No,No,O(n),3
"const getIntersectionNode = (headA, headB) => { let a = headA, b = headB; while (a !== b) { a = a ? a.next : headB; b = b ? b.next : headA; } return a; }",No,No,O(n),3
"const reorderList = (head) => { if (!head || !head.next) return; let slow = head, fast = head; while (fast && fast.next) { slow = slow.next; fast = fast.next.next; } let prev = null, curr = slow; while (curr) { const next = curr.next; curr.next = prev; prev = curr; curr = next; } let first = head, second = prev; while (second) { const temp1 = first.next; const temp2 = second.next; first.next = second; second.next = temp1; first = temp1; second = temp2; } }",No,No,O(n),3
"const findDuplicate = (nums) => { let slow = nums[0], fast = nums[0]; while (true) { slow = nums[slow]; fast = nums[nums[fast]]; if (slow === fast) break; } let ptr1 = nums[0], ptr2 = slow; while (ptr1 !== ptr2) { ptr1 = nums[ptr1]; ptr2 = nums[ptr2]; } return ptr1; }",No,No,O(n),3
"const lengthOfLongestSubstring = (s) => { const map = {}; let left = 0, maxLength = 0; for (let right = 0; right < s.length; right++) { if (map[s[right]] !== undefined) left = Math.max(left, map[s[right]] + 1); map[s[right]] = right; maxLength = Math.max(maxLength, right - left + 1); } return maxLength; }",No,No,O(n),3
"const summaryRanges = (nums) => { const ranges = []; for (let i = 0; i < nums.length; i++) { const start = nums[i]; while (i + 1 < nums.length && nums[i + 1] === nums[i] + 1) i++; const end = nums[i]; ranges.push(start === end ? `${start}` : `${start}->${end}`); } return ranges; }",No,No,O(n),3
"const twoSumLessThanK = (A, K) => { let maxSum = -1; for (let i = 0; i < A.length; i++) { for (let j = i + 1; j < A.length; j++) { const sum = A[i] + A[j]; if (sum < K) maxSum = Math.max(maxSum, sum); } } return maxSum; }",No,No,O(n^2),3
"const longestMountain = (A) => { let maxLen = 0; for (let i = 1; i < A.length - 1; i++) { if (A[i] > A[i - 1] && A[i] > A[i + 1]) { let left = i, right = i; while (left > 0 && A[left - 1] < A[left]) left--; while (right < A.length - 1 && A[right + 1] < A[right]) right++; maxLen = Math.max(maxLen, right - left + 1); } } return maxLen; }",No,No,O(n),3
"const mostFrequent = (nums, key) => { const count = {}; for (let i = 0; i < nums.length - 1; i++) { if (nums[i] === key) { const nextNum = nums[i + 1]; count[nextNum] = (count[nextNum] || 0) + 1; } } return Object.keys(count).reduce((a, b) => (count[a] > count[b] ? a : b)); }",No,No,O(n),3
"const threeSum = (nums) => { const result = []; nums.sort((a, b) => a - b); for (let i = 0; i < nums.length; i++) { if (i > 0 && nums[i] === nums[i - 1]) continue; let left = i + 1, right = nums.length - 1; while (left < right) { const sum = nums[i] + nums[left] + nums[right]; if (sum < 0) left++; else if (sum > 0) right--; else { result.push([nums[i], nums[left], nums[right]]); while (left < right && nums[left] === nums[left + 1]) left++; while (left < right && nums[right] === nums[right - 1]) right--; left++; right--; } } } return result; }",No,No,O(n^2),3
"const containsNearbyAlmostDuplicate = (nums, k, t) => { const map = new Map(); for (let i = 0; i < nums.length; i++) { if (i > k) map.delete(nums[i - k - 1]); const left = Math.max(nums[i] - t, -2147483648); const right = Math.min(nums[i] + t, 2147483647); for (let j = left; j <= right; j++) { if (map.has(j) && Math.abs(map.get(j) - nums[i]) <= t) return true; } map.set(nums[i], i); } return false; }",No,No,O(n),3
"const minWindow = (s, t) => { const mapT = {}; const mapS = {}; for (const char of t) { mapT[char] = (mapT[char] || 0) + 1; } let required = Object.keys(mapT).length; let l = 0, r = 0; let formed = 0; let minLen = Infinity; let minL = 0; while (r < s.length) { const char = s[r]; mapS[char] = (mapS[char] || 0) + 1; if (mapS[char] === mapT[char]) formed++; while (l <= r && formed === required) { const charL = s[l]; if (r - l + 1 < minLen) { minLen = r - l + 1; minL = l; } mapS[charL]--; if (mapS[charL] < mapT[charL]) formed--; l++; } r++; } return minLen === Infinity ? "" : s.slice(minL, minL + minLen); }",No,No,O(n),3
"const findLongestChain = (pairs) => { pairs.sort((a, b) => a[1] - b[1]); let currentEnd = -Infinity, count = 0; for (const [start, end] of pairs) { if (start > currentEnd) { currentEnd = end; count++; } } return count; }",No,No,O(n log n),3
"const validPalindrome = (s) => { const isPalindrome = (s) => s === s.split('').reverse().join(''); for (let i = 0; i < s.length; i++) { const newStr = s.slice(0, i) + s.slice(i + 1); if (isPalindrome(newStr)) return true; } return false; }",No,No,O(n^2),3
"const numIslands2 = (m, n, positions) => { const grid = Array.from({ length: m }, () => Array(n).fill(0)); const parents = []; const find = (x) => { if (parents[x] !== x) parents[x] = find(parents[x]); return parents[x]; }; const union = (x, y) => { const rootX = find(x); const rootY = find(y); if (rootX !== rootY) parents[rootY] = rootX; }; const countIslands = () => { const islands = new Set(); for (let i = 0; i < m; i++) { for (let j = 0; j < n; j++) { if (grid[i][j] === 1) islands.add(find(i * n + j)); } } return islands.size; }; const result = []; for (const [x, y] of positions) { grid[x][y] = 1; parents[x * n + y] = x * n + y; for (const [dx, dy] of [[0, 1], [1, 0], [0, -1], [-1, 0]]) { const nx = x + dx, ny = y + dy; if (nx >= 0 && nx < m && ny >= 0 && ny < n && grid[nx][ny] === 1) union(x * n + y, nx * n + ny); } result.push(countIslands()); } return result; }",No,No,O(positions.length * (m + n)),3
"const maxProfit = (prices) => { let maxProfit = 0; let minPrice = Infinity; for (let price of prices) { minPrice = Math.min(minPrice, price); maxProfit = Math.max(maxProfit, price - minPrice); } return maxProfit; }",No,No,O(n),3
"const findKthSmallest = (matrix, k) => { const flat = [].concat(...matrix); flat.sort((a, b) => a - b); return flat[k - 1]; }",No,No,O(n log n),3
"const lastStoneWeight = (stones) => { const heap = new MaxPriorityQueue(); for (const stone of stones) { heap.enqueue(stone); } while (heap.size() > 1) { const stone1 = heap.dequeue().element; const stone2 = heap.dequeue().element; if (stone1 !== stone2) heap.enqueue(stone1 - stone2); } return heap.size() === 0 ? 0 : heap.dequeue().element; }",No,No,O(n log n),3
"const nthUglyNumber = (n) => { const dp = [1]; let i2 = 0, i3 = 0, i5 = 0; while (dp.length < n) { const nextUgly = Math.min(dp[i2] * 2, dp[i3] * 3, dp[i5] * 5); dp.push(nextUgly); if (nextUgly === dp[i2] * 2) i2++; if (nextUgly === dp[i3] * 3) i3++; if (nextUgly === dp[i5] * 5) i5++; } return dp[n - 1]; }",No,No,O(n),3
"const longestValidParentheses = (s) => { const stack = [-1]; let maxLength = 0; for (let i = 0; i < s.length; i++) { if (s[i] === '(') stack.push(i); else { stack.pop(); if (stack.length === 0) stack.push(i); else maxLength = Math.max(maxLength, i - stack[stack.length - 1]); } } return maxLength; }",No,No,O(n),3
"const maxArea = (height) => { let maxArea = 0, left = 0, right = height.length - 1; while (left < right) { const area = Math.min(height[left], height[right]) * (right - left); maxArea = Math.max(maxArea, area); if (height[left] < height[right]) left++; else right--; } return maxArea; }",No,No,O(n),3
"const climbStairs = (n) => { if (n <= 2) return n; let first = 1, second = 2; for (let i = 3; i <= n; i++) { const next = first + second; first = second; second = next; } return second; }",No,No,O(n),3
"const myAtoi = (s) => { s = s.trim(); let i = 0, sign = 1, total = 0; if (s[i] === '-' || s[i] === '+') { sign = s[i++] === '-' ? -1 : 1; } while (i < s.length && s[i] >= '0' && s[i] <= '9') { total = total * 10 + (s[i++] - '0'); } total *= sign; return Math.max(Math.min(total, 2 ** 31 - 1), -(2 ** 31)); }",No,No,O(n),3
"const generateParenthesis = (n) => { const res = []; const backtrack = (current, open, close) => { if (current.length === 2 * n) { res.push(current); return; } if (open < n) backtrack(current + '(', open + 1, close); if (close < open) backtrack(current + ')', open, close + 1); }; backtrack('', 0, 0); return res; }",No,No,O(2^n),3
"const permuteUnique = (nums) => { const res = []; nums.sort((a, b) => a - b); const backtrack = (start) => { if (start === nums.length) { res.push([...nums]); return; } for (let i = start; i < nums.length; i++) { if (i > start && nums[i] === nums[i - 1]) continue; [nums[start], nums[i]] = [nums[i], nums[start]]; backtrack(start + 1); [nums[start], nums[i]] = [nums[i], nums[start]]; } }; backtrack(0); return res; }",No,No,O(n!),3
"const partitionLabels = (s) => { const last = {}; for (let i = 0; i < s.length; i++) last[s[i]] = i; let partitions = [], j = 0, anchor = 0; for (let i = 0; i < s.length; i++) { j = Math.max(j, last[s[i]]); if (i === j) { partitions.push(i - anchor + 1); anchor = i + 1; } } return partitions; }",No,No,O(n),3
"const kClosest = (points, k) => { points.sort((a, b) => a[0] ** 2 + a[1] ** 2 - (b[0] ** 2 + b[1] ** 2)); return points.slice(0, k); }",No,No,O(n log n),3
"const search = (nums, target) => { let left = 0, right = nums.length - 1; while (left <= right) { const mid = Math.floor((left + right) / 2); if (nums[mid] === target) return mid; if (nums[left] <= nums[mid]) { if (nums[left] <= target && target < nums[mid]) right = mid - 1; else left = mid + 1; } else { if (nums[mid] < target && target <= nums[right]) left = mid + 1; else right = mid - 1; } } return -1; }",No,No,O(log n),3
"const maxCoins = (nums) => { const n = nums.length; const dp = Array(n + 2).fill(0); nums = [1, ...nums, 1]; for (let i = n; i >= 1; i--) { for (let j = i; j <= n; j++) { dp[j] = Math.max(dp[j], dp[j - 1] + nums[i] * nums[j] * nums[j + 1]); } } return dp[n]; }",No,No,O(n^3),3
"const canConstruct = (ransomNote, magazine) => { const count = {}; for (const char of magazine) { count[char] = (count[char] || 0) + 1; } for (const char of ransomNote) { if (!count[char]) return false; count[char]--; } return true; }",No,No,O(m + n),3
"const countSubstrings = (s) => { let count = 0; const dp = Array.from({ length: s.length }, () => Array(s.length).fill(false)); for (let end = 0; end < s.length; end++) { for (let start = end; start >= 0; start--) { if (s[start] === s[end] && (end - start < 2 || dp[start + 1][end - 1])) { dp[start][end] = true; count++; } } } return count; }",No,No,O(n^2),3
"const shortestPalindrome = (s) => { const revS = s.split('').reverse().join(''); const l = s + '#' + revS; const n = l.length; const lps = Array(n).fill(0); for (let i = 1; i < n; i++) { let j = lps[i - 1]; while (j > 0 && l[i] !== l[j]) j = lps[j - 1]; if (l[i] === l[j]) j++; lps[i] = j; } return revS.slice(0, s.length - lps[n - 1]) + s; }",No,No,O(n),3
"const groupAnagrams = (strs) => { const map = {}; for (const str of strs) { const key = str.split('').sort().join(''); if (!map[key]) map[key] = []; map[key].push(str); } return Object.values(map); }",No,No,O(n * k log k),3
"const trap = (height) => { if (height.length === 0) return 0; let left = 0, right = height.length - 1, leftMax = height[left], rightMax = height[right], water = 0; while (left < right) { if (leftMax < rightMax) { left++; leftMax = Math.max(leftMax, height[left]); water += leftMax - height[left]; } else { right--; rightMax = Math.max(rightMax, height[right]); water += rightMax - height[right]; } } return water; }",No,No,O(n),3
"const longestCommonPrefix = (strs) => { if (!strs.length) return ''; let prefix = strs[0]; for (let i = 1; i < strs.length; i++) { while (strs[i].indexOf(prefix) !== 0) { prefix = prefix.slice(0, -1); if (!prefix) return ''; } } return prefix; }",No,No,O(n * m),3
"const searchRange = (nums, target) => { const findLeft = (nums, target) => { let left = 0, right = nums.length - 1; while (left <= right) { const mid = Math.floor((left + right) / 2); if (nums[mid] < target) left = mid + 1; else right = mid - 1; } return left; }; const findRight = (nums, target) => { let left = 0, right = nums.length - 1; while (left <= right) { const mid = Math.floor((left + right) / 2); if (nums[mid] <= target) left = mid + 1; else right = mid - 1; } return right; }; const leftIndex = findLeft(nums, target); const rightIndex = findRight(nums, target); return leftIndex <= rightIndex ? [leftIndex, rightIndex] : [-1, -1]; }",No,No,O(log n),3
"const minCostToMoveChips = (position) => { let odd = 0, even = 0; for (const p of position) { if (p % 2 === 0) even++; else odd++; } return Math.min(odd, even); }",No,No,O(n),3
"const longestSubstring = (s, k) => { const map = {}; for (const char of s) { map[char] = (map[char] || 0) + 1; } let maxLen = 0; for (const [char, count] of Object.entries(map)) { if (count < k) { const filtered = s.split(char).join(''); maxLen = Math.max(maxLen, longestSubstring(filtered, k)); } } return Math.max(maxLen, s.length); }",No,No,O(n^2),3
"const combinationSum = (candidates, target) => { const res = []; const backtrack = (start, target, path) => { if (target === 0) { res.push(path); return; } if (target < 0) return; for (let i = start; i < candidates.length; i++) { backtrack(i, target - candidates[i], [...path, candidates[i]]); } }; backtrack(0, target, []); return res; }",No,No,O(2^n),3
"const longestSubstringWithoutRepeating = (s) => { const chars = new Set(); let left = 0, maxLen = 0; for (let right = 0; right < s.length; right++) { while (chars.has(s[right])) { chars.delete(s[left]); left++; } chars.add(s[right]); maxLen = Math.max(maxLen, right - left + 1); } return maxLen; }",No,No,O(n),3
"const isPalindrome = (s) => { const cleanStr = s.replace(/[^a-zA-Z0-9]/g, '').toLowerCase(); return cleanStr === cleanStr.split('').reverse().join(''); }",No,No,O(n),3
"const dailyTemperatures = (T) => { const stack = []; const res = Array(T.length).fill(0); for (let i = 0; i < T.length; i++) { while (stack.length && T[i] > T[stack[stack.length - 1]]) { const j = stack.pop(); res[j] = i - j; } stack.push(i); } return res; }",No,No,O(n),3
"const maxProfit = (prices) => { let maxProfit = 0; let minPrice = Infinity; for (const price of prices) { if (price < minPrice) minPrice = price; else maxProfit = Math.max(maxProfit, price - minPrice); } return maxProfit; }",No,No,O(n),3
"const restoreString = (s, indices) => { const res = Array(s.length); for (let i = 0; i < s.length; i++) { res[indices[i]] = s[i]; } return res.join(''); }",No,No,O(n),3
"const rotate = (nums, k) => { k %= nums.length; const reverse = (arr, start, end) => { while (start < end) { [arr[start], arr[end]] = [arr[end], arr[start]]; start++; end--; } }; reverse(nums, 0, nums.length - 1); reverse(nums, 0, k - 1); reverse(nums, k, nums.length - 1); }",No,No,O(n),3
"const removeDuplicates = (nums) => { let i = 0; for (let j = 1; j < nums.length; j++) { if (nums[i] !== nums[j]) { i++; nums[i] = nums[j]; } } return i + 1; }",No,No,O(n),3
"const numDecodings = (s) => { if (s[0] === '0') return 0; const dp = Array(s.length + 1).fill(0); dp[0] = 1; dp[1] = 1; for (let i = 2; i <= s.length; i++) { if (s[i - 1] !== '0') dp[i] += dp[i - 1]; if (s[i - 2] === '1' || (s[i - 2] === '2' && s[i - 1] <= '6')) dp[i] += dp[i - 2]; } return dp[s.length]; }",No,No,O(n),3
"const climbStairs = (n) => { if (n <= 2) return n; let first = 1, second = 2; for (let i = 3; i <= n; i++) { [first, second] = [second, first + second]; } return second; }",No,No,O(n),3
"const findMedianSortedArrays = (nums1, nums2) => { const merge = (arr1, arr2) => { const merged = []; let i = 0, j = 0; while (i < arr1.length || j < arr2.length) { if (i < arr1.length && (j >= arr2.length || arr1[i] < arr2[j])) merged.push(arr1[i++]); else merged.push(arr2[j++]); } return merged; }; const merged = merge(nums1, nums2); const mid = merged.length / 2; return mid % 1 === 0 ? (merged[mid - 1] + merged[mid]) / 2 : merged[Math.floor(mid)]; }",No,No,O(n),3
"const letterCombinations = (digits) => { if (!digits) return []; const mapping = { 2: 'abc', 3: 'def', 4: 'ghi', 5: 'jkl', 6: 'mno', 7: 'pqrs', 8: 'tuv', 9: 'wxyz' }; const res = []; const backtrack = (index, path) => { if (index === digits.length) { res.push(path); return; } for (const char of mapping[digits[index]]) backtrack(index + 1, path + char); }; backtrack(0, ''); return res; }",No,No,O(3^n),3
"const validParentheses = (s) => { const stack = []; for (const char of s) { if (char === '(') stack.push(')'); else if (char === '{') stack.push('}'); else if (char === '[') stack.push(']'); else if (stack.pop() !== char) return false; } return stack.length === 0; }",No,No,O(n),3
"const minDistance = (word1, word2) => { const dp = Array.from({ length: word1.length + 1 }, () => Array(word2.length + 1).fill(0)); for (let i = 0; i <= word1.length; i++) dp[i][0] = i; for (let j = 0; j <= word2.length; j++) dp[0][j] = j; for (let i = 1; i <= word1.length; i++) { for (let j = 1; j <= word2.length; j++) { if (word1[i - 1] === word2[j - 1]) dp[i][j] = dp[i - 1][j - 1]; else dp[i][j] = 1 + Math.min(dp[i - 1][j], dp[i][j - 1], dp[i - 1][j - 1]); } } return dp[word1.length][word2.length]; }",No,No,O(m*n),3
"const isValidSudoku = (board) => { const rows = Array(9).fill(null).map(() => new Set()); const cols = Array(9).fill(null).map(() => new Set()); const boxes = Array(9).fill(null).map(() => new Set()); for (let r = 0; r < 9; r++) { for (let c = 0; c < 9; c++) { if (board[r][c] !== '.') { if (rows[r].has(board[r][c])) return false; rows[r].add(board[r][c]); if (cols[c].has(board[r][c])) return false; cols[c].add(board[r][c]); const boxIdx = Math.floor(r / 3) * 3 + Math.floor(c / 3); if (boxes[boxIdx].has(board[r][c])) return false; boxes[boxIdx].add(board[r][c]); } } } return true; }",No,No,O(n^2),3
"const maxArea = (height) => { let left = 0, right = height.length - 1; let maxArea = 0; while (left < right) { maxArea = Math.max(maxArea, Math.min(height[left], height[right]) * (right - left)); if (height[left] < height[right]) left++; else right--; } return maxArea; }",No,No,O(n),3
"const subsets = (nums) => { const res = []; const backtrack = (start, path) => { res.push(path); for (let i = start; i < nums.length; i++) { backtrack(i + 1, [...path, nums[i]]); } }; backtrack(0, []); return res; }",No,No,O(2^n),3
"const findDuplicate = (nums) => { let slow = nums[0], fast = nums[0]; do { slow = nums[slow]; fast = nums[nums[fast]]; } while (slow !== fast); let entry = nums[0]; while (entry !== slow) { entry = nums[entry]; slow = nums[slow]; } return entry; }",No,No,O(n),3
"const lengthOfLIS = (nums) => { const dp = Array(nums.length).fill(1); for (let i = 1; i < nums.length; i++) { for (let j = 0; j < i; j++) { if (nums[i] > nums[j]) dp[i] = Math.max(dp[i], dp[j] + 1); } } return Math.max(...dp); }",No,No,O(n^2),3
"const validAnagram = (s, t) => { if (s.length !== t.length) return false; const count = {}; for (const char of s) { count[char] = (count[char] || 0) + 1; } for (const char of t) { if (!count[char]) return false; count[char]--; } return true; }",No,No,O(n),3
"const minPathSum = (grid) => { const m = grid.length, n = grid[0].length; const dp = Array.from({ length: m }, () => Array(n).fill(0)); dp[0][0] = grid[0][0]; for (let i = 1; i < m; i++) dp[i][0] = dp[i - 1][0] + grid[i][0]; for (let j = 1; j < n; j++) dp[0][j] = dp[0][j - 1] + grid[0][j]; for (let i = 1; i < m; i++) { for (let j = 1; j < n; j++) dp[i][j] = Math.min(dp[i - 1][j], dp[i][j - 1]) + grid[i][j]; } return dp[m - 1][n - 1]; }",No,No,O(m*n),3
"const findFirstAndLastPosition = (nums, target) => { const binarySearch = (left) => { let low = 0, high = nums.length - 1; while (low <= high) { const mid = Math.floor((low + high) / 2); if (nums[mid] > target || (left && nums[mid] === target)) high = mid - 1; else low = mid + 1; } return low; }; const start = binarySearch(true); const end = binarySearch(false) - 1; return (start <= end) ? [start, end] : [-1, -1]; };",No,No,O(log n),3
